date,away_abbr,home_abbr,total_pts,total_fta,total_pf,crew_n_officials,crew_total_pts_l20,crew_total_fta_l20,crew_total_pf_l20,crew_total_pfd_l20,crew_home_fta_edge_l20,crew_home_pf_edge_l20,crew_home_pts_edge_l20,crew_total_pts_l50,crew_total_fta_l50,crew_total_pf_l50,crew_total_pfd_l50,crew_home_fta_edge_l50,crew_home_pf_edge_l50,crew_home_pts_edge_l50,crew_total_pts_z_l20,crew_total_fta_z_l20,crew_total_pf_z_l20,crew_total_pfd_z_l20,crew_home_fta_edge_z_l20,crew_home_pf_edge_z_l20,crew_home_pts_edge_z_l20,crew_total_pts_z_l50,crew_total_fta_z_l50,crew_total_pf_z_l50,crew_total_pfd_z_l50,crew_home_fta_edge_z_l50,crew_home_pf_edge_z_l50,crew_home_pts_edge_z_l50,ref_contact_strictness_l20,ref_scoring_environment_l20,total_line,over_odds,under_odds,went_over,push,raw_p_over,raw_p_under,market_prob_over_novig
2021-10-20,CHI,DET,182,28,35,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-20,IND,CHA,245,51,45,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.5,-115,-105,1,0,0.5348837209302325,0.5121951219512195,0.5108342361863488
2021-10-20,CLE,MEM,253,30,32,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.5,-115,-105,1,0,0.5348837209302325,0.5121951219512195,0.5108342361863488
2021-10-21,DAL,ATL,200,22,37,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.5,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-21,MIL,MIA,232,60,52,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.5,-110,-110,1,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-21,LAC,GSW,228,43,45,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.5,-110,-110,1,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-22,SAS,DEN,198,22,38,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,-105,-115,0,0,0.5121951219512195,0.5348837209302325,0.4891657638136511
2021-10-22,UTA,SAC,211,44,39,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-22,PHX,LAL,220,57,48,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-22,OKC,HOU,215,30,39,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-22,NOP,CHI,240,41,34,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,-115,-105,1,0,0.5348837209302325,0.5121951219512195,0.5108342361863488
2021-10-22,TOR,BOS,198,32,32,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-22,IND,WAS,269,39,43,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,-110,-110,1,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-22,NYK,ORL,217,32,37,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,-110,-110,1,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-22,CHA,CLE,235,37,31,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.5,-110,-110,1,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-22,BKN,PHI,223,35,37,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-23,PHX,POR,239,32,34,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.5,-110,-110,1,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-23,MEM,LAC,234,42,40,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.5,-105,-115,1,0,0.5121951219512195,0.5348837209302325,0.4891657638136511
2021-10-23,MIL,SAS,232,28,33,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.5,-105,-115,1,0,0.5121951219512195,0.5348837209302325,0.4891657638136511
2021-10-23,NOP,MIN,185,33,47,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.5,-115,-105,0,0,0.5348837209302325,0.5121951219512195,0.5108342361863488
2021-10-23,DAL,TOR,198,41,45,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.5,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-23,MIA,IND,193,35,43,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.5,-105,-115,0,0,0.5121951219512195,0.5348837209302325,0.4891657638136511
2021-10-23,ATL,CLE,196,42,39,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.5,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-23,DET,CHI,179,34,34,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.5,-105,-115,0,0,0.5121951219512195,0.5348837209302325,0.4891657638136511
2021-10-24,MEM,LAL,239,40,34,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.5,-115,-105,1,0,0.5348837209302325,0.5121951219512195,0.5108342361863488
2021-10-24,CHA,BKN,206,31,36,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.5,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-24,ORL,NYK,214,59,46,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.5,-110,-110,0,0,0.5238095238095238,0.5238095238095238,0.5
2021-10-24,BOS,HOU,204,44,42,3,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,227.57654723127035,44.89967426710098,38.71921824104235,38.71840390879479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,-105,-115,0,0,0.5121951219512195,0.5348837209302325,0.4891657638136511
