threshold,n_bets,hit_rate,avg_return_per_bet,total_return_sum,roi_per_dollar_staked,return_vol,per_bet_sharpe,max_drawdown,over_bets,under_bets
0.025,1550,0.5,-0.06393414260419522,-99.09792103650258,-0.06393414260419522,0.937359432497601,-0.06820664559148057,,484,1066
0.05,774,0.5103359173126615,-0.0445202765088805,-34.458694017873505,-0.0445202765088805,0.9374259263518516,-0.04749204737929378,,198,576
0.075,315,0.5428571428571428,0.01809190333330405,5.698949549990775,0.01809190333330405,0.9366882680303225,0.01931475385225854,,66,249
0.1,119,0.5294117647058824,-0.006485612084228575,-0.7717878380232004,-0.006485612084228575,0.9416392996112699,-0.00688757583387395,-1.0,20,99
