threshold,bet_side,n_bets,hit_rate,avg_return_per_bet,total_units,return_vol,per_bet_sharpe,max_drawdown_units,avg_abs_edge,avg_model_prob_over,avg_market_prob_over,avg_points_line,meets_min_bets
0.025,Under,4019.0,0.5222692211993033,-0.019728514596370404,-79.28890016281265,0.9388235550107554,-0.021014081390559474,-89.35434632503993,0.04351193094389744,0.45436174795635764,0.4978736789002551,16.641826324956458,True
0.025,Over,866.0,0.5184757505773672,-0.024233208060468095,-20.98595818036537,0.9422625086794716,-0.025718107042621896,-50.035900371955265,0.03688262116702299,0.5379124662901849,0.5010298451231618,13.102771362586605,True
0.05,Under,1053.0,0.5014245014245015,-0.05662423737600741,-59.6253219569358,0.9419905044776172,-0.06011126132041904,-68.4788484600329,0.06589105501678554,0.4328315387439031,0.4987225937606887,20.862773029439698,True
0.05,Over,105.0,0.4857142857142857,-0.08852889958392968,-9.295534456312616,0.9436202687468652,-0.09381835311941393,-18.930198418267658,0.06026926288649538,0.5638943881486191,0.5036251252621238,12.50952380952381,True
0.075,Under,225.0,0.52,-0.019163090522550684,-4.311695367573904,0.9451123054072319,-0.02027599303586853,-11.490386703274064,0.08874064715678721,0.4110142961286947,0.499754943285482,26.02,True
0.075,Over,7.0,0.14285714285714285,-0.7390791027154664,-5.1735537190082646,0.6903318060747043,-1.0706142991121097,-4.1735537190082646,0.084506943206095,0.5963865677835493,0.5118796245774543,9.642857142857142,False
0.1,Under,35.0,0.5714285714285714,0.07561114539275739,2.6463900887465086,0.9458794148116638,0.07993740450289057,-6.0,0.10959474902216164,0.38874460996000715,0.4983393589821687,28.585714285714285,True
