threshold,n_bets,hit_rate,avg_return_per_bet,total_return_sum,roi_per_dollar_staked,return_vol,per_bet_sharpe,max_drawdown,over_bets,under_bets
0.025,1823,0.505759736697751,-0.051559910366451626,-93.99371659804132,-0.051559910366451626,0.9389475517679723,-0.05491244986939679,,485,1338
0.05,1064,0.5178571428571429,-0.029753555231189627,-31.657782765985765,-0.029753555231189627,0.9376479643532936,-0.031732117342899574,,220,844
0.075,559,0.5330948121645797,-0.002347113604267489,-1.3120365047855262,-0.002347113604267489,0.9354563579855423,-0.0025090573004622886,,86,473
0.1,279,0.5089605734767025,-0.044899720653992135,-12.527022062463805,-0.044899720653992135,0.9406138402339308,-0.047734488621627734,-1.0,32,247
