threshold,bet_side,n_bets,hit_rate,avg_return_per_bet,total_units,return_vol,per_bet_sharpe,max_drawdown_units,avg_abs_edge,avg_model_prob_over,avg_market_prob_over,avg_points_line,meets_min_bets
0.025,Under,1066.0,0.50093808630394,-0.061549343903025376,-65.61160060062505,0.9380949693298942,-0.06561099453181343,-71.58747578613902,0.058904043504325626,0.43839952314891545,0.497303566653241,16.78893058161351,True
0.025,Over,484.0,0.49793388429752067,-0.06918661247082135,-33.48632043587753,0.9366856275864239,-0.07386321561172646,-39.26519482918338,0.05170498298042505,0.5557815543857929,0.5040765714053679,13.02892561983471,True
0.05,Under,576.0,0.5208333333333334,-0.023430663519991696,-13.496062187515218,0.938400945801456,-0.02496871260075337,-29.212211174513307,0.0779627813434754,0.41983291824201874,0.49779569958549413,18.866319444444443,True
0.05,Over,198.0,0.4797979797979798,-0.10587187793110242,-20.96263183035828,0.9342409661594879,-0.11332395149221985,-22.56448660107534,0.07382258433145811,0.5786340179881531,0.5048114336566949,13.818181818181818,True
0.075,Over,66.0,0.5757575757575758,0.07560509063006082,4.989935981584014,0.9315309688854533,0.08116218693246438,-5.58107498295381,0.10156230032717556,0.6054848428019342,0.5039225424747587,13.909090909090908,True
0.075,Under,249.0,0.5341365461847389,0.0028474440498263615,0.709013568406764,0.9393265799798698,0.0030313674823163033,-17.501283032771386,0.10006312592378348,0.3983859046002245,0.498449030524008,21.102409638554217,True
0.1,Over,20.0,0.55,0.033292074238278735,0.6658414847655747,0.9607063694495197,0.03465374571978214,-2.3096984982230886,0.1364185270394627,0.6404414152222437,0.5040228881827812,14.95,True
0.1,Under,99.0,0.5252525252525253,-0.014521508310997735,-1.4376293227887758,0.9425029811897576,-0.01540738713915438,-9.724849206729225,0.12157909615375802,0.3758715762867241,0.497450672440482,22.853535353535353,True
